[run number],number-of-nodes,initial-outbreak-size,average-prob-detect,recovery-chance,[step],count turtles,clustering-coefficient,average-path-length,count turtles with [not spreaders? and not cencored?],count turtles with [spreaders?],count turtles with [cencored?],count turtles with [untouched?]
2,250,3,0.95,8,0,250,0.401104762,7.113574297,247,3,0,247
2,250,3,0.95,8,1,250,0.401104762,7.113574297,205,12,33,201
2,250,3,0.95,8,2,250,0.401104762,7.113574297,206,2,42,199
2,250,3,0.95,8,3,250,0.401104762,7.113574297,207,0,43,199
3,250,3,0.95,8,0,250,0.368819048,6.30897992,247,3,0,247
3,250,3,0.95,8,1,250,0.368819048,6.30897992,228,6,16,228
3,250,3,0.95,8,2,250,0.368819048,6.30897992,226,3,21,225
3,250,3,0.95,8,3,250,0.368819048,6.30897992,225,4,21,224
3,250,3,0.95,8,4,250,0.368819048,6.30897992,224,4,22,223
3,250,3,0.95,8,5,250,0.368819048,6.30897992,221,4,25,219
3,250,3,0.95,8,6,250,0.368819048,6.30897992,217,3,30,215
3,250,3,0.95,8,7,250,0.368819048,6.30897992,217,0,33,215
1,250,3,0.95,8,0,250,0.409866667,7.657220884,247,3,0,247
1,250,3,0.95,8,1,250,0.409866667,7.657220884,234,3,13,234
1,250,3,0.95,8,2,250,0.409866667,7.657220884,234,1,15,234
1,250,3,0.95,8,3,250,0.409866667,7.657220884,234,0,16,234
4,250,3,0.95,8,0,250,0.32592381,5.959614458,247,3,0,247
4,250,3,0.95,8,1,250,0.32592381,5.959614458,202,16,32,198
4,250,3,0.95,8,2,250,0.32592381,5.959614458,177,12,61,171
4,250,3,0.95,8,3,250,0.32592381,5.959614458,166,7,77,159
4,250,3,0.95,8,4,250,0.32592381,5.959614458,160,5,85,152
4,250,3,0.95,8,5,250,0.32592381,5.959614458,155,4,91,145
4,250,3,0.95,8,6,250,0.32592381,5.959614458,155,2,93,145
4,250,3,0.95,8,7,250,0.32592381,5.959614458,154,0,96,144
5,250,3,0.95,8,0,250,0.380666667,6.750393574,247,3,0,247
5,250,3,0.95,8,1,250,0.380666667,6.750393574,238,3,9,237
5,250,3,0.95,8,2,250,0.380666667,6.750393574,231,3,16,231
5,250,3,0.95,8,3,250,0.380666667,6.750393574,231,0,19,230
7,250,3,0.95,8,0,250,0.349028571,6.185060241,247,3,0,247
7,250,3,0.95,8,1,250,0.349028571,6.185060241,231,5,14,231
7,250,3,0.95,8,2,250,0.349028571,6.185060241,212,10,28,212
7,250,3,0.95,8,3,250,0.349028571,6.185060241,208,3,39,206
7,250,3,0.95,8,4,250,0.349028571,6.185060241,208,1,41,206
7,250,3,0.95,8,5,250,0.349028571,6.185060241,208,0,42,206
8,250,3,0.95,8,0,250,0.366,6.324048193,247,3,0,247
8,250,3,0.95,8,1,250,0.366,6.324048193,242,1,7,241
8,250,3,0.95,8,2,250,0.366,6.324048193,237,1,12,233
8,250,3,0.95,8,3,250,0.366,6.324048193,236,0,14,232
6,250,3,0.95,8,0,250,0.378133333,6.731052209,247,3,0,247
6,250,3,0.95,8,1,250,0.378133333,6.731052209,243,3,4,243
6,250,3,0.95,8,2,250,0.378133333,6.731052209,240,1,9,240
6,250,3,0.95,8,3,250,0.378133333,6.731052209,232,1,17,232
6,250,3,0.95,8,4,250,0.378133333,6.731052209,228,4,18,228
6,250,3,0.95,8,5,250,0.378133333,6.731052209,226,1,23,226
6,250,3,0.95,8,6,250,0.378133333,6.731052209,225,1,24,224
6,250,3,0.95,8,7,250,0.378133333,6.731052209,223,0,27,223
9,250,3,0.95,8,0,250,0.379466667,6.889445783,247,3,0,247
9,250,3,0.95,8,1,250,0.379466667,6.889445783,237,5,8,236
9,250,3,0.95,8,2,250,0.379466667,6.889445783,224,4,22,223
9,250,3,0.95,8,3,250,0.379466667,6.889445783,212,7,31,208
9,250,3,0.95,8,4,250,0.379466667,6.889445783,212,1,37,207
9,250,3,0.95,8,5,250,0.379466667,6.889445783,211,0,39,207
10,250,3,0.95,8,0,250,0.3432,6.397751004,247,3,0,247
10,250,3,0.95,8,1,250,0.3432,6.397751004,239,6,5,239
10,250,3,0.95,8,2,250,0.3432,6.397751004,239,2,9,239
10,250,3,0.95,8,3,250,0.3432,6.397751004,230,3,17,229
10,250,3,0.95,8,4,250,0.3432,6.397751004,229,3,18,227
10,250,3,0.95,8,5,250,0.3432,6.397751004,228,2,20,226
10,250,3,0.95,8,6,250,0.3432,6.397751004,219,3,28,217
10,250,3,0.95,8,7,250,0.3432,6.397751004,213,3,34,209
10,250,3,0.95,8,8,250,0.3432,6.397751004,195,8,47,190
10,250,3,0.95,8,9,250,0.3432,6.397751004,191,6,53,187
10,250,3,0.95,8,10,250,0.3432,6.397751004,188,7,55,184
10,250,3,0.95,8,11,250,0.3432,6.397751004,188,1,61,184
10,250,3,0.95,8,12,250,0.3432,6.397751004,188,0,62,184
12,250,3,0.95,8,0,250,0.394038095,6.58660241,247,3,0,247
12,250,3,0.95,8,1,250,0.394038095,6.58660241,243,2,5,242
12,250,3,0.95,8,2,250,0.394038095,6.58660241,240,2,8,239
12,250,3,0.95,8,3,250,0.394038095,6.58660241,240,2,8,239
12,250,3,0.95,8,4,250,0.394038095,6.58660241,234,6,10,232
12,250,3,0.95,8,5,250,0.394038095,6.58660241,227,2,21,223
12,250,3,0.95,8,6,250,0.394038095,6.58660241,223,5,22,219
12,250,3,0.95,8,7,250,0.394038095,6.58660241,217,5,28,211
12,250,3,0.95,8,8,250,0.394038095,6.58660241,216,4,30,210
12,250,3,0.95,8,9,250,0.394038095,6.58660241,215,3,32,210
12,250,3,0.95,8,10,250,0.394038095,6.58660241,203,3,44,197
12,250,3,0.95,8,11,250,0.394038095,6.58660241,197,7,46,190
12,250,3,0.95,8,12,250,0.394038095,6.58660241,195,4,51,188
12,250,3,0.95,8,13,250,0.394038095,6.58660241,189,4,57,180
12,250,3,0.95,8,14,250,0.394038095,6.58660241,189,2,59,180
12,250,3,0.95,8,15,250,0.394038095,6.58660241,189,2,59,180
12,250,3,0.95,8,16,250,0.394038095,6.58660241,189,1,60,180
12,250,3,0.95,8,17,250,0.394038095,6.58660241,189,0,61,180
13,250,3,0.95,8,0,250,0.393333333,6.874473896,247,3,0,247
13,250,3,0.95,8,1,250,0.393333333,6.874473896,229,8,13,228
13,250,3,0.95,8,2,250,0.393333333,6.874473896,225,0,25,224
11,250,3,0.95,8,0,250,0.389066667,7.210538153,247,3,0,247
11,250,3,0.95,8,1,250,0.389066667,7.210538153,223,8,19,221
11,250,3,0.95,8,2,250,0.389066667,7.210538153,202,11,37,199
11,250,3,0.95,8,3,250,0.389066667,7.210538153,197,5,48,194
11,250,3,0.95,8,4,250,0.389066667,7.210538153,196,3,51,194
11,250,3,0.95,8,5,250,0.389066667,7.210538153,198,1,51,194
11,250,3,0.95,8,6,250,0.389066667,7.210538153,197,0,53,194
14,250,3,0.95,8,0,250,0.383333333,6.882024096,247,3,0,247
14,250,3,0.95,8,1,250,0.383333333,6.882024096,242,3,5,241
14,250,3,0.95,8,2,250,0.383333333,6.882024096,227,6,17,225
14,250,3,0.95,8,3,250,0.383333333,6.882024096,226,3,21,223
14,250,3,0.95,8,4,250,0.383333333,6.882024096,220,2,28,218
14,250,3,0.95,8,5,250,0.383333333,6.882024096,220,0,30,218
15,250,3,0.95,8,0,250,0.379733333,6.855293173,247,3,0,247
15,250,3,0.95,8,1,250,0.379733333,6.855293173,210,8,32,207
15,250,3,0.95,8,2,250,0.379733333,6.855293173,194,7,49,189
15,250,3,0.95,8,3,250,0.379733333,6.855293173,183,6,61,177
15,250,3,0.95,8,4,250,0.379733333,6.855293173,180,2,68,175
15,250,3,0.95,8,5,250,0.379733333,6.855293173,181,1,68,175
15,250,3,0.95,8,6,250,0.379733333,6.855293173,181,1,68,175
15,250,3,0.95,8,7,250,0.379733333,6.855293173,181,1,68,175
15,250,3,0.95,8,8,250,0.379733333,6.855293173,181,1,68,175
15,250,3,0.95,8,9,250,0.379733333,6.855293173,181,1,68,175
15,250,3,0.95,8,10,250,0.379733333,6.855293173,181,0,69,175
16,250,3,0.95,8,0,250,0.393733333,7.29988755,247,3,0,247
16,250,3,0.95,8,1,250,0.393733333,7.29988755,218,16,16,216
16,250,3,0.95,8,2,250,0.393733333,7.29988755,210,4,36,206
16,250,3,0.95,8,3,250,0.393733333,7.29988755,210,2,38,206
16,250,3,0.95,8,4,250,0.393733333,7.29988755,210,1,39,206
16,250,3,0.95,8,5,250,0.393733333,7.29988755,205,2,43,201
16,250,3,0.95,8,6,250,0.393733333,7.29988755,204,2,44,200
16,250,3,0.95,8,7,250,0.393733333,7.29988755,202,2,46,198
16,250,3,0.95,8,8,250,0.393733333,7.29988755,200,2,48,196
16,250,3,0.95,8,9,250,0.393733333,7.29988755,200,1,49,196
16,250,3,0.95,8,10,250,0.393733333,7.29988755,200,0,50,196
17,250,3,0.95,8,0,250,0.394266667,6.732208835,247,3,0,247
17,250,3,0.95,8,1,250,0.394266667,6.732208835,234,7,9,231
17,250,3,0.95,8,2,250,0.394266667,6.732208835,230,3,17,228
17,250,3,0.95,8,3,250,0.394266667,6.732208835,231,1,18,228
17,250,3,0.95,8,4,250,0.394266667,6.732208835,231,0,19,228
18,250,3,0.95,8,0,250,0.3632,6.412658635,247,3,0,247
18,250,3,0.95,8,1,250,0.3632,6.412658635,239,5,6,238
18,250,3,0.95,8,2,250,0.3632,6.412658635,229,3,18,228
18,250,3,0.95,8,3,250,0.3632,6.412658635,230,1,19,228
18,250,3,0.95,8,4,250,0.3632,6.412658635,230,0,20,228
21,250,3,0.95,8,0,250,0.39,6.880803213,247,3,0,247
21,250,3,0.95,8,1,250,0.39,6.880803213,221,11,18,218
21,250,3,0.95,8,2,250,0.39,6.880803213,210,11,29,206
21,250,3,0.95,8,3,250,0.39,6.880803213,197,9,44,189
21,250,3,0.95,8,4,250,0.39,6.880803213,187,11,52,180
21,250,3,0.95,8,5,250,0.39,6.880803213,184,6,60,175
21,250,3,0.95,8,6,250,0.39,6.880803213,183,1,66,175
21,250,3,0.95,8,7,250,0.39,6.880803213,181,0,69,174
20,250,3,0.95,8,0,250,0.351638095,5.887453815,247,3,0,247
20,250,3,0.95,8,1,250,0.351638095,5.887453815,232,7,11,230
20,250,3,0.95,8,2,250,0.351638095,5.887453815,218,7,25,215
20,250,3,0.95,8,3,250,0.351638095,5.887453815,208,8,34,206
20,250,3,0.95,8,4,250,0.351638095,5.887453815,201,5,44,197
20,250,3,0.95,8,5,250,0.351638095,5.887453815,201,1,48,197
20,250,3,0.95,8,6,250,0.351638095,5.887453815,199,1,50,197
20,250,3,0.95,8,7,250,0.351638095,5.887453815,199,0,51,197
19,250,3,0.95,8,0,250,0.388,6.811951807,247,3,0,247
19,250,3,0.95,8,1,250,0.388,6.811951807,239,6,5,239
19,250,3,0.95,8,2,250,0.388,6.811951807,218,10,22,218
19,250,3,0.95,8,3,250,0.388,6.811951807,202,6,42,202
19,250,3,0.95,8,4,250,0.388,6.811951807,200,3,47,200
19,250,3,0.95,8,5,250,0.388,6.811951807,199,2,49,198
19,250,3,0.95,8,6,250,0.388,6.811951807,199,1,50,198
19,250,3,0.95,8,7,250,0.388,6.811951807,199,1,50,198
19,250,3,0.95,8,8,250,0.388,6.811951807,200,0,50,198
22,250,3,0.95,8,0,250,0.365104762,6.561253012,247,3,0,247
22,250,3,0.95,8,1,250,0.365104762,6.561253012,232,5,13,231
22,250,3,0.95,8,2,250,0.365104762,6.561253012,228,3,19,225
22,250,3,0.95,8,3,250,0.365104762,6.561253012,221,6,23,218
22,250,3,0.95,8,4,250,0.365104762,6.561253012,220,4,26,217
22,250,3,0.95,8,5,250,0.365104762,6.561253012,220,2,28,217
22,250,3,0.95,8,6,250,0.365104762,6.561253012,220,2,28,217
22,250,3,0.95,8,7,250,0.365104762,6.561253012,220,1,29,217
22,250,3,0.95,8,8,250,0.365104762,6.561253012,220,1,29,217
22,250,3,0.95,8,9,250,0.365104762,6.561253012,220,0,30,217
23,250,3,0.95,8,0,250,0.356133333,6.446361446,247,3,0,247
23,250,3,0.95,8,1,250,0.356133333,6.446361446,216,16,18,214
23,250,3,0.95,8,2,250,0.356133333,6.446361446,201,16,33,198
23,250,3,0.95,8,3,250,0.356133333,6.446361446,190,8,52,187
23,250,3,0.95,8,4,250,0.356133333,6.446361446,179,8,63,176
23,250,3,0.95,8,5,250,0.356133333,6.446361446,168,10,72,164
23,250,3,0.95,8,6,250,0.356133333,6.446361446,163,5,82,159
23,250,3,0.95,8,7,250,0.356133333,6.446361446,162,2,86,158
23,250,3,0.95,8,8,250,0.356133333,6.446361446,162,2,86,158
23,250,3,0.95,8,9,250,0.356133333,6.446361446,162,1,87,158
23,250,3,0.95,8,10,250,0.356133333,6.446361446,162,0,88,158
25,250,3,0.95,8,0,250,0.354,6.41124498,247,3,0,247
25,250,3,0.95,8,1,250,0.354,6.41124498,229,8,13,225
25,250,3,0.95,8,2,250,0.354,6.41124498,186,20,44,181
25,250,3,0.95,8,3,250,0.354,6.41124498,175,13,62,170
25,250,3,0.95,8,4,250,0.354,6.41124498,170,6,74,164
25,250,3,0.95,8,5,250,0.354,6.41124498,152,8,90,144
25,250,3,0.95,8,6,250,0.354,6.41124498,151,5,94,143
25,250,3,0.95,8,7,250,0.354,6.41124498,152,3,95,143
25,250,3,0.95,8,8,250,0.354,6.41124498,153,0,97,143
26,250,3,0.95,8,0,250,0.373095238,6.53686747,247,3,0,247
26,250,3,0.95,8,1,250,0.373095238,6.53686747,231,10,9,231
26,250,3,0.95,8,2,250,0.373095238,6.53686747,226,7,17,223
26,250,3,0.95,8,3,250,0.373095238,6.53686747,219,2,29,217
26,250,3,0.95,8,4,250,0.373095238,6.53686747,218,1,31,216
26,250,3,0.95,8,5,250,0.373095238,6.53686747,217,0,33,215
24,250,3,0.95,8,0,250,0.39,7.030136546,247,3,0,247
24,250,3,0.95,8,1,250,0.39,7.030136546,240,2,8,240
24,250,3,0.95,8,2,250,0.39,7.030136546,240,0,10,240
27,250,3,0.95,8,0,250,0.350933333,6.426891566,247,3,0,247
27,250,3,0.95,8,1,250,0.350933333,6.426891566,211,11,28,204
27,250,3,0.95,8,2,250,0.350933333,6.426891566,172,19,59,160
27,250,3,0.95,8,3,250,0.350933333,6.426891566,154,11,85,145
27,250,3,0.95,8,4,250,0.350933333,6.426891566,154,4,92,145
27,250,3,0.95,8,5,250,0.350933333,6.426891566,155,0,95,145
28,250,3,0.95,8,0,250,0.362666667,6.774136546,247,3,0,247
28,250,3,0.95,8,1,250,0.362666667,6.774136546,219,12,19,213
28,250,3,0.95,8,2,250,0.362666667,6.774136546,213,10,27,207
28,250,3,0.95,8,3,250,0.362666667,6.774136546,205,1,44,201
28,250,3,0.95,8,4,250,0.362666667,6.774136546,205,1,44,201
28,250,3,0.95,8,5,250,0.362666667,6.774136546,205,0,45,201
30,250,3,0.95,8,0,250,0.416590476,6.984192771,247,3,0,247
30,250,3,0.95,8,1,250,0.416590476,6.984192771,218,14,18,215
30,250,3,0.95,8,2,250,0.416590476,6.984192771,204,11,35,203
30,250,3,0.95,8,3,250,0.416590476,6.984192771,182,9,59,177
30,250,3,0.95,8,4,250,0.416590476,6.984192771,179,4,67,175
30,250,3,0.95,8,5,250,0.416590476,6.984192771,178,3,69,174
30,250,3,0.95,8,6,250,0.416590476,6.984192771,178,3,69,174
30,250,3,0.95,8,7,250,0.416590476,6.984192771,176,2,72,172
